Range_of_ages
0 23

Data_set_1
547                                   # data points
6                                    # readers
0 18 1                               # minus group; plus group; reference age
   1  2  3  4  5  6  7
1  3.6151786   3.520163 3.645049 3.625621 3.7759995   3.5721414
1  3.6272926   3.4677796   3.5244668   3.4870095   3.6461477   3.5271492
1  3.7453184   3.6186874   3.612608 3.6856554   3.7499468   3.699925
1  3.7569702   3.6518495   3.7453063   3.6864426   3.897417 3.9344797
1  3.757815 3.6603029   3.696436 3.767378 3.8178585   3.5782723
1  3.761073 3.6064816   3.664016 3.6679552   3.6983054   3.728021
1  3.7915192   3.6570277   3.7207417   -999  3.7149198   3.8556345
1  3.8069277   3.691611 3.686288 3.8191075   3.8518293   3.7306108
1  3.8122742   3.7264924   3.7772176   3.7752404   3.8121796   3.8339787
1  3.8601909   3.549818 3.6160524   3.8252413   3.67391  3.7306244
1  3.8630931   3.713987 3.9260552   3.8550844   4.0727   3.8935444
1  3.931712 3.7558908   3.7566388   3.8399289   3.9168782   3.8644416
1  3.9471354   3.8311524   3.8206508   3.870174 3.930861 3.9335237
1  3.9815943   3.8596187   3.997714 3.9295268   3.9656377   3.9635448
1  3.9871294   3.826669 3.902327 3.8891592   3.9859326   3.9457362
1  3.9960501   4.0362926   4.220765 4.15705  4.360729 4.199406
1  3.9962034   3.9141548   3.8740666   3.9888637   4.186375 3.928549
1  4.0022707   3.8581398   3.8749623   3.9487453   3.9737506   4.024132
1  4.008827 3.8533573   3.8947742   3.959474 4.0208197   3.9774218
1  4.0133715   3.8628278   3.9486635   4.1031218   4.0692368   4.007423
1  4.023179 3.8700542   3.9737897   3.9214754   3.9680622   3.970577
1  4.0318584   3.9356096   3.9776654   3.976911 4.0277867   3.9737015
1  4.064858 4.021057 3.962415 4.0558586   4.1854153   4.116725
1  4.0865145   3.8707826   3.913017 3.9597437   4.037116 4.025048
1  4.0874763   3.8850508   3.9592648   4.123295 4.121496 4.009293
1  4.0958195   3.9462676   4.0458097   -999  4.1013613   4.068698
1  4.1170597   4.037472 4.338248 4.0857854   4.448109 4.210018
1  4.1570497   4.0179358   4.152624 4.0915713   4.1453156   4.0782933
1  4.1572366   4.045129 4.032054 4.075894 4.111316 4.4840164
1  4.1591554   4.004145 3.9756052   4.124975 4.231552 5.793201
1  4.232666 4.0809216   4.1292863   4.145041 4.1951795   4.1827974
1  4.2346096   4.06947  4.0530796   4.0947986   4.131778 4.1268067
1  4.3026342   4.1161427   4.183326 4.146136 4.1510344   4.1394854
1  4.310048 4.1426663   4.154924 4.276353 4.3004475   4.3047485
1  4.3177643   4.2525353   4.233011 4.345738 4.369818 4.0438414
1  4.332596 4.1423125   4.1670246   4.315134 4.3182926   4.386565
1  4.34075  4.0957174   4.0359874   4.122028 4.4003787   4.0923967
1  4.3905206   4.0322957   4.3542247   4.3835454   4.454601 4.228507
1  4.3917975   4.294628 4.2973285   4.4256215   4.3942184   4.4208193
1  4.3998494   4.039143 4.1702065   4.2292366   4.3122706   4.207737
1  4.423889 4.2075815   4.294426 4.323266 4.518469 4.169467
1  4.4317107   4.2438254   4.263342 4.222432 4.448864 4.1462283
1  4.4349585   4.2012267   4.5495567   4.310106 4.506735 4.3507075
1  4.4364853   4.1599073   4.284643 4.389512 4.4232645   4.169275
1  4.476308 4.162184 4.373874 4.3370495   4.474583 4.1380024
1  4.511399 4.2559566   4.5400925   4.303275 4.4196086   4.4062924
1  4.5777392   4.356018 4.438942 4.430342 4.482825 4.499987
